存货编码,存货名称,产品分类,在制件数,当前工序,工序状态,时间,剩余工序,需求日期,已开合格证,NCR汇总
C01300253,齿轮（左）,油气,2,摇臂钻2,自制-完工,2026-09-21 15:19:09,磁粉探伤,2026-09-17 00:00:00,6,
C01300253,齿轮（左）,油气,6,磁粉探伤,自制-完工,2026-09-20 16:05:19,,,6,
C01300254,齿轮（右）,油气,2,摇臂钻2,自制-完工,2026-09-21 19:15:43,磁粉探伤,2026-09-17 00:00:00,6,
C01300254,齿轮（右）,油气,3,磁粉探伤,自制-完工,2026-09-20 16:03:50,,,6,
C01300374,斜齿轮,散单,1,退磁,自制-完工,2026-09-19 16:47:15,,,1,
C01300375,斜齿轮,散单,2,退磁,自制-完工,2026-09-19 16:48:12,,,2,
C14006233,三级推力盘转接套,子件,3,精车2,自制-完工,2026-09-17 06:17:17,,,3,YW591-3 / YW589-3 / YW590-3
C01300513,大齿轮,子件,1,检测,自制-完工,2026-09-19 19:25:18,,,1,
C01196374,输出齿轮轴,子件,2,磁粉探伤,自制-完工,2026-09-18 08:56:02,,,2,
C01300527,输入轴组合加工件,高精高速,2,磁粉探伤,自制-完工,2026-09-16 18:24:41,,2026-09-30 00:00:00,2,
CC091723,齿轮,散单,5,割键槽--停用,自制-完工,2026-09-20 11:19:26,磁粉探伤-退磁,2026-09-25 00:00:00,0,
C01300401,大齿轮组件,高精高速,1,动平衡,自制-完工,2026-09-21 18:20:08,,2026-09-15 00:00:00,0,
C01196368,低速齿轮组34,高精高速,1,磁粉探伤,自制-完工,2026-09-17 15:29:09,,2026-09-07 00:00:00,1,
C01300338,主齿轮,子件,2,立磨,自制-完工,2026-09-19 16:24:10,,,2,
C01300532,主齿轮,子件,2,磁粉探伤,自制-完工,2026-09-21 10:57:14,,,0,
C07000137,输入轴,子件,1,外圆磨2,自制-完工,2026-09-03 20:38:28,磁粉探伤,,0,
C01310054,厚齿圈,子件,1,平面磨,自制-完工,2026-07-27 13:59:36,,,0,
C01310018,齿圈,散单,2,磨齿,自制-完工,2026-09-08 03:17:49,,2026-10-04 00:00:00,0,
C01196341,低速齿轮组,高精高速,1,外圆磨,自制-完工,2026-09-15 11:07:48,磁粉探伤,2026-09-01 00:00:00,0,YH202-1
CC092860,齿轮,散单,2,磨齿,自制-完工,2026-09-20 21:33:31,,2026-10-26 00:00:00,0,
C01196107,低速小齿轮组件,高精高速,8,齿检仪检测2,自制-完工,2026-09-21 20:00:15,,,0,YY823-1
C01196295,低速齿轮轴,高精高速,8,磨齿,自制-完工,2026-09-20 10:44:11,磁粉探伤,2026-10-10 00:00:00,0,
C01196336,低速齿轮轴组件,高精高速,1,磨内孔,自制-完工,2026-09-21 19:05:55,磁粉探伤,,0,
C01196356,一二级高速轴组件,高精高速,1,激光涂覆,委外-完工,2026-09-21 15:47:15,磁粉探伤,2026-09-01 00:00:00,0,
C01300509,大齿轮组件,高精高速,2,动平衡,自制-完工,2026-09-21 14:49:14,,2026-09-06 00:00:00,0,
C14006244,低速推力盘,齿轮箱-高精,4,调质,自制-完工,2026-09-19 10:50:24,,2026-11-10 00:00:00,0,
C14006245,高速推力盘,齿轮箱-高精,4,调质,自制-完工,2026-09-19 10:50:03,,2026-11-10 00:00:00,0,
C01216011,中间级行星轮,齿轮箱-普通,4,磁粉探伤,自制-完工,2026-09-15 15:47:08,,2026-09-30 00:00:00,8,ZDY767 / ZDY763 / ZDY769 / ZDY764 / ZDY765 / ZDY762 / ZDY766
C01226006,输出行星轮,齿轮箱-普通,12,超精磨,自制-完工,2026-09-18 13:16:41,,2026-09-30 00:00:00,15,
